TLD,Domain Name,Status,Description,Currency,Domain Create,Domain Renew,Domain Transfer,Domain Restore
autos,10000.autos,,,USD,15000,3000,3000,40
autos,about.autos,,,USD,20000,4000,4000,40
autos,abudhabi.autos,,,USD,30000,6000,6000,40
autos,academy.autos,,,USD,15000,3000,3000,40
autos,accent.autos,,,USD,15000,3000,3000,40
autos,access.autos,,,USD,15000,3000,3000,40
autos,accessories.autos,,,USD,15000,3000,3000,40
autos,acres.autos,,,USD,15000,3000,3000,40
autos,action.autos,,,USD,20000,4000,4000,40
autos,ada.autos,,,USD,15000,3000,3000,40
autos,adele.autos,,,USD,15000,3000,3000,40
autos,adult.autos,,,USD,20000,4000,4000,40
autos,advantage.autos,,,USD,40000,8000,8000,40
autos,advertising.autos,,,USD,15000,3000,3000,40
autos,affordable.autos,,,USD,20000,4000,4000,40
autos,africa.autos,,,USD,50000,10000,10000,40
autos,african.autos,,,USD,30000,6000,6000,40
autos,aircraft.autos,,,USD,30000,6000,6000,40
autos,airline.autos,,,USD,20000,4000,4000,40
autos,airport.autos,,,USD,40000,8000,8000,40
autos,ak.autos,,,USD,25000,5000,5000,40
autos,akon.autos,,,USD,20000,4000,4000,40
autos,al.autos,,,USD,25000,5000,5000,40
autos,alabama.autos,,,USD,20000,4000,4000,40
autos,alaska.autos,,,USD,15000,3000,3000,40
autos,albany.autos,,,USD,15000,3000,3000,40
autos,alberta.autos,,,USD,30000,6000,6000,40
autos,album.autos,,,USD,30000,6000,6000,40
autos,albuquerque.autos,,,USD,20000,4000,4000,40
autos,alegre.autos,,,USD,30000,6000,6000,40
autos,alexander.autos,,,USD,30000,6000,6000,40
autos,alexandria.autos,,,USD,20000,4000,4000,40
autos,alicante.autos,,,USD,20000,4000,4000,40
autos,alice.autos,,,USD,20000,4000,4000,40
autos,alicia.autos,,,USD,15000,3000,3000,40
autos,allegro.autos,,,USD,15000,3000,3000,40
autos,allen.autos,,,USD,30000,6000,6000,40
autos,allied.autos,,,USD,15000,3000,3000,40
autos,alpine.autos,,,USD,20000,4000,4000,40
autos,amanda.autos,,,USD,30000,6000,6000,40
autos,american.autos,,,USD,50000,10000,10000,40
autos,americanexpress.autos,,,USD,15000,3000,3000,40
autos,americans.autos,,,USD,15000,3000,3000,40
autos,americansomoa.autos,,,USD,20000,4000,4000,40
autos,amsterdam.autos,,,USD,40000,8000,8000,40
autos,anaheim.autos,,,USD,15000,3000,3000,40
autos,anchor.autos,,,USD,15000,3000,3000,40
autos,anderson.autos,,,USD,30000,6000,6000,40
autos,andrew.autos,,,USD,15000,3000,3000,40
autos,andrews.autos,,,USD,20000,4000,4000,40
autos,animal.autos,,,USD,15000,3000,3000,40
autos,animals.autos,,,USD,15000,3000,3000,40
autos,ankara.autos,,,USD,30000,6000,6000,40
autos,antalya.autos,,,USD,20000,4000,4000,40
autos,antique.autos,,,USD,20000,4000,4000,40
autos,apache.autos,,,USD,15000,3000,3000,40
autos,apartment.autos,,,USD,75000,15000,15000,40
autos,apex.autos,,,USD,15000,3000,3000,40
autos,apollo.autos,,,USD,30000,6000,6000,40
autos,apple.autos,,,USD,75000,15000,15000,40
autos,appliances.autos,,,USD,15000,3000,3000,40
autos,application.autos,,,USD,15000,3000,3000,40
autos,ar.autos,,,USD,25000,5000,5000,40
autos,arabian.autos,,,USD,15000,3000,3000,40
autos,arabic.autos,,,USD,20000,4000,4000,40
autos,arbor.autos,,,USD,20000,4000,4000,40
autos,arena.autos,,,USD,20000,4000,4000,40
autos,arizona.autos,,,USD,30000,6000,6000,40
autos,arkansas.autos,,,USD,15000,3000,3000,40
autos,arlington.autos,,,USD,20000,4000,4000,40
autos,armstrong.autos,,,USD,30000,6000,6000,40
